Takt;Heure Début;Heure Fin;Interrompu;Poste 8;Poste 7;Poste 6;Poste 5;Poste 4;Poste 3;Poste 2;Poste 1
Takt 1;2025-01-27 05:30;2025-01-27 13:08;Non;60100296825.0;60100296827.0;60100297906.0;60100296834.0;60100296820.0;60100296821.0;60100297063.0;60100297066.0
Takt 2;2025-01-27 13:08;2025-01-27 20:47;Non;60100296827.0;60100297906.0;60100296834.0;60100296820.0;60100296821.0;60100297063.0;60100297066.0;60100297064.0
Takt 3;2025-01-27 20:47;2025-01-28 06:25;Oui;60100297906.0;60100296834.0;60100296820.0;60100296821.0;60100297063.0;60100297066.0;60100297064.0;60100297067.0
Takt 4;2025-01-28 06:25;2025-01-28 14:04;Non;60100296834.0;60100296820.0;60100296821.0;60100297063.0;60100297066.0;60100297064.0;60100297067.0;60100297069.0
Takt 5;2025-01-28 14:04;2025-01-28 21:42;Non;60100296820.0;60100296821.0;60100297063.0;60100297066.0;60100297064.0;60100297067.0;60100297069.0;60100297072.0
Takt 6;2025-01-28 21:42;2025-01-29 07:21;Oui;60100296821.0;60100297063.0;60100297066.0;60100297064.0;60100297067.0;60100297069.0;60100297072.0;60100297070.0
Takt 7;2025-01-29 07:21;2025-01-29 14:59;Non;60100297063.0;60100297066.0;60100297064.0;60100297067.0;60100297069.0;60100297072.0;60100297070.0;60100297073.0
Takt 8;2025-01-29 14:59;2025-01-29 22:38;Non;60100297066.0;60100297064.0;60100297067.0;60100297069.0;60100297072.0;60100297070.0;60100297073.0;60100297071.0
Takt 9;2025-01-29 22:38;2025-01-30 08:17;Oui;60100297064.0;60100297067.0;60100297069.0;60100297072.0;60100297070.0;60100297073.0;60100297071.0;60100297065.0
Takt 10;2025-01-30 08:17;2025-01-30 15:55;Non;60100297067.0;60100297069.0;60100297072.0;60100297070.0;60100297073.0;60100297071.0;60100297065.0;Vide
Takt 11;2025-01-30 15:55;2025-01-30 23:34;Non;60100297069.0;60100297072.0;60100297070.0;60100297073.0;60100297071.0;60100297065.0;Vide;Vide
Takt 12;2025-01-30 23:34;2025-01-31 09:12;Oui;60100297072.0;60100297070.0;60100297073.0;60100297071.0;60100297065.0;Vide;Vide;Vide
Takt 13;2025-01-31 09:12;2025-01-31 16:51;Non;60100297070.0;60100297073.0;60100297071.0;60100297065.0;Vide;Vide;Vide;Vide
Takt 14;2025-01-31 16:51;2025-02-01 00:29;Non;60100297073.0;60100297071.0;60100297065.0;Vide;Vide;Vide;Vide;Vide
Takt 15;2025-02-01 00:29;2025-02-01 13:08;Oui;60100297071.0;60100297065.0;Vide;Vide;Vide;Vide;Vide;Vide
Takt 16;2025-02-01 13:08;2025-02-01 20:47;Non;60100297065.0;Vide;Vide;Vide;Vide;Vide;Vide;Vide
Takt 17;2025-02-01 20:47;2025-02-02 04:25;Non;Vide;Vide;Vide;Vide;Vide;Vide;Vide;Vide
Takt 18;2025-02-02 04:25;2025-02-02 12:04;Oui;Vide;Vide;Vide;Vide;Vide;Vide;Vide;Vide
Takt 19;2025-02-02 12:04;2025-02-02 19:42;Non;Vide;Vide;Vide;Vide;Vide;Vide;Vide;Vide
Takt 20;2025-02-02 19:42;2025-02-03 03:21;Non;Vide;Vide;Vide;Vide;Vide;Vide;Vide;Vide